"","title","text"
"1","
        Menghadap Jokowi di Istana, Prabowo Lapor Pertahanan RI Panutan Banyak Negara    ","

                    Jakarta - Menteri Pertahanan (Menhan) RI Prabowo Subianto dipanggil Presiden Joko Widodo (Jokowi) siang ini. Ketua Umum Partai Gerindra itu melaporkan beberapa hal terkait pertahanan Indonesia ke Jokowi. Apa saja?""Saya melaporkan beberapa hal di bidang saya. Terutama perkembangan di bidang pertahanan, industri pertahanan, dan perkembangan hubungan kita dengan beberapa negara di bidang pertahanan dan perkembangan di bidang geopolitik,"" kata Prabowo di kompleks Istana Kepresidenan, Jakarta Pusat, Senin (10/7/2023).Baca juga: PDIP Tepis Isu Effendi Simbolon Dukung Prabowo: Dia Taat Menangkan GanjarPrabowo menjelaskan perkembangan pertahanan Indonesia saat ini cukup bagus. Kinerja industri pertahanan, kata dia, sangat baik saat ini.
      @import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");
     
  
    ADVERTISEMENT
  
  
        
          
                
                  
                        

  
    googletag.cmd.push(function() { googletag.display('div-gpt-ad-1572507980488-0'); });
  
                  
                
          
        
  
  
        SCROLL TO RESUME CONTENT
  
  
  function paraA(e) {
  var p = $(e);
  $(e + "" .para_fix"").width(p.width());
  }
  $("".paraA iframe"").on(""load"", paraA("".paraA""));
  ""Cukup bagus perkembangannya, kemajuan industri pertahanan kita sangat baik, kinerjanya sangat bagus dan akan diperbaiki terus,"" ujarnya.Dia mencontohkan kemampuan produksi pesawat CN-235 PT Dirgantara Indonesia. Prabowo menuturkan banyak negara yang berminat membeli pesawat buatan Indonesia.""Jadi, ini tentunya membesarkan hati kita dan saya dorong terus supaya industri pertahanan kita supaya lebih efisien, lebih produktif, lebih inovatif, dan tidak malu-malu kerja sama dengan siapapun yang bisa membawa nilai tambah bagi kita,"" kata Prabowo.Selain itu, Prabowo melaporkan kerja sama pertahanan Indonesia dengan sejumlah negara kepada Jokowi. Dia mengungkapkan banyak negara yang meminta Indonesia melatih tentaranya.""Ini saya kira menunjukkan Indonesia terus dihormati dan menjadi panutan banyak Negara, terutama negara Afrika,"" pungkas Prabowo.Baca juga: Prabowo Menghadap Jokowi di Istana Siang Ini, Bahas Apa?        
		
        (mae/haf)
        
            
                				prabowo subianto				jokowi            
        

        
        
    "
"2","
        Panja Komisi I DPR Targetkan RUU ITE Disahkan di Paripurna Pekan Ini    ","

                    Jakarta - Revisi Undang-Undang tentang Perubahan Kedua atas UU Nomor 11 Tahun 2008 tentang Informasi dan Transaksi Elektronik (ITE) tengah dibahas di tingkat Panitia Kerja (Panja) Komisi I DPR bersama pemerintah. Anggota Komisi I DPR Fraksi Golkar sekaligus anggota Panja, Dave Laksono, menargetkan revisi UU ini dapat disahkan di paripurna pada pekan ini.""Hampir selesai, kok, makanya saya yakin dalam minggu ini bisa kelar. Jadi sebelum ganti masa sidang, ini bisa diputuskan,"" kata Dave kepada wartawan di Kompleks Parlemen, Senayan, Jakarta, Senin (10/7/2023).""Iya, kita masih mengharapkan pekan ini (dibawa ke paripurna),"" imbuhnya.
      @import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");
     
  
    ADVERTISEMENT
  
  
        
          
                
                  
                        

  
    googletag.cmd.push(function() { googletag.display('div-gpt-ad-1572507980488-0'); });
  
                  
                
          
        
  
  
        SCROLL TO RESUME CONTENT
  
  
  function paraA(e) {
  var p = $(e);
  $(e + "" .para_fix"").width(p.width());
  }
  $("".paraA iframe"").on(""load"", paraA("".paraA""));
  Baca juga: Legislator Golkar Jelaskan Progres RUU ITE, Harap Segera RampungDave lalu berkelakar soal alasan rapat pembahasan revisi UU ini dilakukan secara tertutup. Menurutnya, tak ada yang hadir di bagian pengunjung ruang rapat di komisi atau bagian balkon.""(Pembahasan) ITE masih berlangsung. Tadinya mau dibuat terbuka tapi tidak ada yang hadir, akhirnya dibuat tertutup aja,"" katanya.Dave mengklaim tak ada yang hendak ditutup-tutupi meskipun rapat pembahasan kerap dilakukan tertutup. Menurutnya, hal itu dilakukan untuk mempercepat proses pembahasannya.""Sebenarnya nggak ada yang ditutup tutupi, nggak ada masalah. Cuma untuk mempercepat proses aja,"" katanya.Baca juga: Panja DPR Rapat RUU ITE, Harap Tak Ada Lagi Pasal KaretSebagai informasi, masa sidang DPR akan berakhir, Kamis (13/7), dan memasuki masa reses DPR per Jumat (14/7). Sementara rapat paripurna hanya dijadwalkan setiap Selasa dan Kamis sebelum masa reses pekan ini.        
		
        (fca/maa)
        
            
                				ruu ite				revisi uu ite				golkar				komisi i dpr				dpr ri				paripurna            
        

        
        
    "
"3","
        Waka MPR Akan Ajukan Pembatalan Putusan PN Jakpus soal Nikah Beda Agama    ","

                    Jakarta - Wakil Ketua MPR RI Yandri Susanto mengatakan dirinya dan salah satu organisasi masyarakat (ormas) Islam akan mendaftarkan permohonan pembatalan putusan Pengadilan Negeri Jakarta Pusat soal nikah beda agama ke Mahkamah Agung atau MA. Menurut Yandri keputusan itu rancu lantaran berbeda dengan aturan di Mahkamah Konsitusi (MK).""Besok saya akan ke Mahkamah Agung bersama salah satu ormas Islam untuk mendaftarkan permohonan pembatalan putusan Pengadilan Negeri Jakarta Pusat yang mengabulkan tentang pernikahan beda agama,"" kata Yandri di Gedung MPR RI, Kompleks Parlemen, Senayan, Jakarta, Senin (10/7/2023).Baca juga: Respons PN Jakpus soal Hakim Izinkan Nikah Beda Agama Dilaporkan ke KYYandri mengatakan permohonan pembatalan itu supaya Indonesia memiliki produk hukum yang jelas. Ia menyebut MK sebelumnya sudah menolak gugatan nikah beda agama.
      @import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");
     
  
    ADVERTISEMENT
  
  
        
          
                
                  
                        

  
    googletag.cmd.push(function() { googletag.display('div-gpt-ad-1572507980488-0'); });
  
                  
                
          
        
  
  
        SCROLL TO RESUME CONTENT
  
  
  function paraA(e) {
  var p = $(e);
  $(e + "" .para_fix"").width(p.width());
  }
  $("".paraA iframe"").on(""load"", paraA("".paraA""));
  ""Supaya dalam satu negara ini produk hukumnya harusnya sama sehingga rakyat atau anak bangsa tidak keliru atau tidak susah mana aturan hukum yang harus ditaati. Jadi MK sudah menolak gugatan itu, artinya, sejatinya, itu tidak perlu lagi diotak-atik oleh lembaga hukum yang lain, termasuk MUI sudah juga memberikan fatwa tahun 2005 ini juga sama,"" ucapnya.Menurut Yandri, keputusan PN Jakpus bertolak belakang dengan sila pertama Pancasila. Ia menyebut jika pernikahan beda agama itu dilegalkan maka sudah mengizinkan perzinahan dalam syariat agama Islam.""Saya menilai putusan Pengadilan Jakpus itu bertolak belakang dengan Pancasila, utamanya sila pertama. Sila pertama itukan Ketuhanan Yang Maha Esa, mengatur tentang bagaimana semua warga negara wajib menganut agama. Dan mencampur adukkan atau mengintervensi persoalan agama melalui pengadilan saya kira tidak pas,"" ucap Yandri.""Dan kami menganggap kalau itu tetap dilegalkan, itu artinya Pengadilan Jakpus menurut syarat Islam itu melegalkan perzinahan, san saya kira tidak boleh itu kita setujui,"" sambungnya.PN Jakpus Izinkan Nikah Beda AgamaSebelumnya, PN Jakpus mengizinkan pernikahan beda agama di antara dua pasangan kekasih Islam dan Kristen. Selain berdasarkan UU Adminduk, penetapan yang diketok hakim Bintang AL mendasarkan alasan sosiologis, yaitu keberagaman masyarakat.""Heterogenitas penduduk Indonesia dan bermacam agama yang diakui secara sah keberadaannya di Indonesia, maka sangat ironis bilamana perkawinan beda agama di Indonesia tidak diperbolehkan karena tidak diatur dalam suatu undang-undang,"" ucap hakim Bintang AL dari pertimbangan penetapannya sebagaimana dikutip detikcom, Minggu (25/6).Baca juga: KY Dalami Laporan terhadap Hakim PN Jakpus soal Putusan Nikah Beda AgamaDisebutkan bahwa calon mempelai laki-laki, JEA adalah seorang Kristen dan calon mempelai wanita, SW adalah seorang muslimah. Keduanya sudah berpacaran selama 10 tahun hingga meyakinkan untuk melanjutkan ke jenjang pernikahan.Keduanya menikah di sebuah gereja di Pamulang yang dihadiri orang tua kedua mempelai. Namun, saat hendak didaftarkan ke negara lewat Dinas Catatan Sipil Jakarta Pusat, mereka ditolak karena perbedaan agama. Oleh sebab itu, keduanya mengajukan permohonan ke PN Jakpus untuk diizinkan dan dikabulkan.""Memberikan izin kepada para pemohon untuk mencatatkan perkawinan beda agama di Kantor Suku Dinas Kependudukan dan Catatan Sipil Kota Jakpus,"" demikian putus hakim tunggal Bintang AL.Hakim Bintang AL menyatakan putusan itu sesuai Pasal 35 huruf a UU 23/2006 tentang Adminduk. Juga berdasarkan putusan MA Nomor 1400 K/PDT/1986 yang mengabulkan permohonan kasasi tentang izin perkawinan beda agama.""Bahwa dengan demikian pula Pengadilan berpendapat bahwa perkawinan antar agama secara objektif sosiologis adalah wajar dan sangat memungkinkan terjadi, mengingat letak geografis Indonesia, heterogenitas penduduk Indonesia, dan bermacam agama yang diakui secara sah keberadaannya di Indonesia, maka sangat ironis bilamana perkawinan beda agama di Indonesia tidak diperbolehkan karena tidak diatur dalam suatu undang-undang,"" ucap hakim Bintang AL.Simak juga Video 'Tok! MK Tolak Gugatan Pernikahan Beda Agama': [Gambas:Video 20detik]        
		
        (dwr/maa)
        
            
                				mahkamah agung				pn jakpus				mpr ri				dpr ri				nikah beda agama				pernikahan beda agama            
        

        
        
    "
"4","
        DPR Pertimbangkan RUU Kesehatan Dibawa ke Paripurna Terdekat    ","

                    Jakarta - Rancangan Undang-Undang (RUU) Kesehatan telah disepakati tingkat I oleh Komisi IX DPR dan Pemerintah. Wakil Ketua DPR RI Dasco mengatakan RUU itu akan dilanjutkan menuju pengesahan di rapat paripurna terdekat.Dasco menjelaskan RUU tersebut telah dibawa ke Rapat Pimpinan (Rapim) dan Badan Musyawarah (Bamus) pada Minggu lalu.""Jadi untuk RUU Kesehatan memang Minggu lalu sudah dirapimkan dan dibamuskan, akan dipertimbangkan untuk dibawa ke paripurna terdekat,"" kata Dasco kepada wartawan di kompleks parlemen, Senayan, Jakarta, Senin (10/7/2023).
      @import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");
     
  
    ADVERTISEMENT
  
  
        
          
                
                  
                        

  
    googletag.cmd.push(function() { googletag.display('div-gpt-ad-1572507980488-0'); });
  
                  
                
          
        
  
  
        SCROLL TO RESUME CONTENT
  
  
  function paraA(e) {
  var p = $(e);
  $(e + "" .para_fix"").width(p.width());
  }
  $("".paraA iframe"").on(""load"", paraA("".paraA""));
  Baca juga: Waka DPR Ungkap Alasan Sulit Penuhi Tuntutan Dana Desa 10% dari APBNKetua Harian Gerindra ini menuturkan pihaknya masih membicarakan jadwal pengesahan RUU Kesehatan di rapat paripurna. ""Nah paripurna terdekatnya ini nanti akan ditentukan tanggalnya kemungkinan setelah Rapim dan Bamus lagi, karena ada beberapa materi yang harus diparipurnakan,"" ujarnya.Dasco mengatakan proses RUU di DPR fluktuatif. Dia menyebut pihaknya masih membicarakan jadwal kapan tepatnya RUU itu disahkan di rapat.""Ya ini namanya di DPR ini kan fluktuatif ya, berdinamika. Nah kita belum tahu jadwal untuk rapim dan bamus ya itu kapan lagi,"" katanya.Sebagai informasi, masa sidang DPR akan berakhir, Kamis (13/7) dan memasuki masa reses DPR per Jumat (14/7). Sementara rapat paripurna hanya dijadwalkan setiap Selasa dan Kamis.Baca juga: RUU Kesehatan Belum Disahkan Juga oleh DPR, Ternyata Ini Alasannya(maa/gbr)
        
            
                				ruu kesehatan				paripurna				dpr ri				rapat paripurna            
        

        
        
    "
"5","
        Ahli Bahasa soal Makna 'Lord' di Podcast Haris Azhar: Luhut Penuh Kekuasaan    ","

                    Jakarta - Ahli bahasa dari Universitas Negeri Jakarta (UNJ) Asisda Wahyu Asri Putradi menjelaskan makna 'Lord Luhut' dalam judul podcast di YouTube Haris Azhar. Asisda menilai 'lord' di nama Menko Kemaritiman dan Investasi Luhut Binsar Pandjaitan memiliki makna 'penuh kuasa'.Hal itu dijelaskan Asisda saat menjadi saksi ahli dalam persidangan Haris Azhar dan Fatia Maulidiyanti di PN Jakarta Timur, Senin (10/7/2023). Asisda awalnya ditanya jaksa soal makna 'Lord Luhut' yang ada dalam judul podcast Haris Azhar.Baca juga: Haris Azhar Tunjuk-tunjuk Jaksa di Sidang, Pengunjung Riuh""Saudara ahli, tadi ditanya pendapat judul 'Ada lord Luhut di balik relasi ekonomi-ops militer Intan Jaya!! Jenderal BIN juga Ada1! >NgeHAMtam', menurut pendapat ahli, pemaknaan 'lord Luhut' di sini seperti apa?"" tanya jaksa.
      @import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");
     
  
    ADVERTISEMENT
  
  
        
          
                
                  
                        

  
    googletag.cmd.push(function() { googletag.display('div-gpt-ad-1572507980488-0'); });
  
                  
                
          
        
  
  
        SCROLL TO RESUME CONTENT
  
  
  function paraA(e) {
  var p = $(e);
  $(e + "" .para_fix"").width(p.width());
  }
  $("".paraA iframe"").on(""load"", paraA("".paraA""));
  ""Kata 'lord' itu kan sebetulnya dari bahasa Arab, yaitu 'Rabb', 'Tuhanku', diubah jadi 'lord' dalam bahasa Inggris. Secara religius, ada sebutan 'Oh My Lord', 'oh Tuhanku', 'Yang Maha Kuasa, yang punya kekuasaan, dan sebagainya,"" jelas Asisda.""Di dalam kepramukaan, dulu saya pernah ikut Pramuka, itu ada seorang bernama Lord Baden Powell, itu karena dia sebagai bapak Pramuka dan punya jasa besar. Jadi sebetulnya kata 'lord' di situ sebetulnya punya makna yang positif, pertama, untuk mengagungkan Tuhan Yang Penuh Kuasa; kedua, itu merupakan suatu gelar kebangsawanan kalau nggak salah di Inggris itu kepada orang-orang yang berjasa di bidangnya,"" sambung dia.Asisda mengatakan 'lord' sebetulnya mengandung makna yang positif. Untuk itu, katanya, 'Lord Luhut' dalam judul podcast itu bermakna Luhut sebagai sosok yang penuh dengan kekuasaan.""Nah penyematan kata 'lord' dalam judul 'Ada lord Luhut' itu mengarah kepada Luhut yang berkuasa, pemaknaannya seperti itu. Jadi 'lord Luhut' di situ lebih diarahkan kepada Pak Luhut yang punya penuh kekuasaan, pemaknaannya seperti itu,"" ucap Asisda.Dalam kasus ini, Haris Azhar didakwa melakukan pencemaran nama baik terhadap Luhut. Jaksa mengatakan informasi terkait pencemaran nama baik Luhut itu disebar Haris Azhar lewat akun YouTube-nya.Video yang diunggah di YouTube itu berjudul 'Ada lord Luhut di balik relasi ekonomi-ops militer Intan Jaya!! Jenderal BIN juga Ada1! >NgeHAMtam'. Hal yang dibahas dalam video itu adalah kajian cepat Koalisi Bersihkan Indonesia dengan judul 'Ekonomi-Politik Penempatan Militer di Papua: Kasus Intan Jaya'.Dalam video tersebut, narasumbernya adalah Fatia Maulidiyanti dan Owi. Jaksa mengatakan Fatia dan Haris memiliki maksud mencemarkan nama baik Luhut.Menurut jaksa, perkataan Haris Azhar dan Fatia dalam video tersebut memuat pencemaran nama baik Luhut. Salah satu kalimat yang disorot terkait pertambangan di Papua.Baca juga: Ahli Bahasa: Podcast Haris Azhar-Fatia Cemarkan Nama Baik Luhut(haf/haf)
        
            
                				lord luhut				luhut binsar pandjaitan				sidang haris azhar dan fatia				haris azhar				hukum            
        

        
        
    "
"6","
        Suara Hati Ibunda Noven Berharap Pembunuh Anaknya Segera Terungkap    ","

                    Jakarta - Polresta Bogor Kota kembali membuka penyelidikan kasus pembunuhan siswi SMK di Kota Bogor, Andriana Yubelia Noven Cahya (18), yang sudah 4 tahun lebih berlalu tapi hingga kini pelakunya belum tertangkap. Ibunda Noven, Cornelia Lucia, berharap Kapolri Jenderal Listyo Sigit Prabowo turun tangan agar kasus ini cepat terungkap.Cornelia Lucia, ibunda Noven, mengatakan sudah lama dirinya tidak mendapatkan kabar terkait perkembangan kasus pembunuhan anaknya.""Di 2019 lalu juga jarang mendapatkan kabar perkembangan kasus pembunuhan anak saya. Apalagi di tahun kedua dan keempat pascakejadian"" kata dia, saat dihubungi dilansir detikJabar, Senin (10/7/2023).
      @import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");
     
  
    ADVERTISEMENT
  
  
        
          
                
                  
                        

  
    googletag.cmd.push(function() { googletag.display('div-gpt-ad-1572507980488-0'); });
  
                  
                
          
        
  
  
        SCROLL TO RESUME CONTENT
  
  
  function paraA(e) {
  var p = $(e);
  $(e + "" .para_fix"").width(p.width());
  }
  $("".paraA iframe"").on(""load"", paraA("".paraA""));
  Baca juga: Upaya Keluarga Cari Pembunuh Noven dan Misteri Ponsel DiretasMenurutnya, untuk mendapatkan kabar perkembangan kasusnya pun, harus pihak keluarga yang menanyakan.""Kalau dari pihak kepolisiannya tidak ada yang mengabari kalau kita tidak menanyakan. Itu pun jawabannya selalu dalam penyelidikan,"" ucapnya.Oleh karena itu, dia berharap Kapolri Jenderal Listyo Sigit Prabowo turun tangan dalam mengungkap kasus yang sudah bertahun-tahun tak terungkap tersebut.Baca juga: Titik Terang Pembunuhan Noven di 2019 Mencuat, Ada Indikasi ke Pelaku""Saya berharap bapak Kapolri agar mengungkap kasus ini. Supaya saya terungkap siapa pelakunya dan apa motifnya hingga tega membunuh anak saya,"" ungkapnya.Simak selengkapnya di sini.        
		
        (yld/hri)
        
            
                				cianjur				pembunuhan noven				pembunuhan noven di bogor				kasus pembunuhan noven            
        

        
        
    "
"7","
        Viral 3 Remaja Diserang Gerombolan Bersajam Saat Beli Nasgor di Pamulang    ","

                    Tangerang Selatan - Viral gerombolan bersenjata tajam (sajam) menyerang tiga pemuda yang sedang membeli nasi goreng (nasgor) di kawasan Pamulang, Tangerang Selatan (Tangsel). Akibat kejadian itu, korban mengalami luka-luka dan dibawa ke rumah sakit.Dalam unggahan viral yang dilihat oleh detikcom, Senin (10/7/2023), terlihat korban terbaring di rumah sakit. Tangan kanan korban terlihat diperban.""Tadi malam, sekitar jam 2-3 dini hari terjadi penyerangan oleh sekelompok remaja bersenjata. Tiga remaja yang sedang mencari nasi goreng dikejar,"" demikian tertulis dalam keterangan unggahan viral tersebut.
      @import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");
     
  
    ADVERTISEMENT
  
  
        
          
                
                  
                        

  
    googletag.cmd.push(function() { googletag.display('div-gpt-ad-1572507980488-0'); });
  
                  
                
          
        
  
  
        SCROLL TO RESUME CONTENT
  
  
  function paraA(e) {
  var p = $(e);
  $(e + "" .para_fix"").width(p.width());
  }
  $("".paraA iframe"").on(""load"", paraA("".paraA""));
  Kapolsek Pamulang, Kompol Fiernando Andriansyah, sedang menyelidiki kasus tersebut. Polisi sedang mengidentifikasi dan mengejar gerombolan tersebut.Baca juga: Viral Pencurian Modus Gembos Ban Mobil di Tangsel, Polisi Selidiki""Kami sedang melakukan penyelidikan terhadap pelakunya, korban tadi sudah sempat kami mintai keterangan sebentar di rumah sakit terkait kronologinya,"" ujar Fiernando ketika dikonfirmasi, Senin (10/7).Fiernando mengatakan korban masih dalam proses pengobatan. Ia juga menyebutkan bahwa polisi masih mencari saksi dan petunjuk lain di sekitar tempat kejadian perkara (TKP).""Sementara korban masih dalam proses pengobatan, dan anggota sudah bergerak untuk mencari saksi dan petunjuk lainnya di sekitar TKP,"" sebutnya.        
		
        (aik/aik)
        
            
                				tangerang selatan				tangsel				jabodetabek				pamulang				gerombolan				senjata tajam            
        

        
        
    "
"8","
        Kamera e-TLE Segera Dipasang di JLNT Casablanca, Incar Pemotor Bandel    ","

                    Jakarta - Direktorat Lalu Lintas Polda Metro Jaya Kombes Latif Usman menyebut kamera e-TLE akan segera dipasang di Jalan Layang Non-Tol (JLNT) Casablanca, Jakarta Selatan. Hal tersebut menyoal maraknya pemotor yang kerap memasuki jalan tersebut.Latif mengatakan pihaknya sudah mengajukan pengadaan e-TLE di JLNT Casablanca. Direncanakan pemasangan akan rampung dalam waktu tiga hingga empat bulan mendatang.""Sekarang udah pengajuan untuk e-TLE. Mudah-mudahan tahun ini segera terpasang. Mungkin 3 hingga 4 bulan lagi udah terpasang untuk penindakan,"" kata Latif saat dihubungi, Senin (10/7/2023).
      @import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");
     
  
    ADVERTISEMENT
  
  
        
          
                
                  
                        

  
    googletag.cmd.push(function() { googletag.display('div-gpt-ad-1572507980488-0'); });
  
                  
                
          
        
  
  
        SCROLL TO RESUME CONTENT
  
  
  function paraA(e) {
  var p = $(e);
  $(e + "" .para_fix"").width(p.width());
  }
  $("".paraA iframe"").on(""load"", paraA("".paraA""));
  Baca juga: E-TLE Bakal Dipasang di JLNT Casablanca, Pelototi Pemotor Bandel!Ratusan Motor Terjaring RaziaTerbaru, Polres Jakarta Selatan menggelar razia balap liar di Jalan Layang Non-Tol (JLNT) Casablanca. Total 309 motor terjaring razia polisi.""Total ada 309 yang kita lakukan penindakan. Semua kita tilang,"" kata Wakapolres Metro Jakarta Selatan AKBP Harun, Rabu (14/6/2023).Dari 309 kendaraan yang ditilang itu, Harun menyebutkan ada 75 kendaraan yang sudah diamankan. Sisanya tidak memiliki kelengkapan surat-surat kendaraan.""Ini kita amankan di sini ada 75 kendaraan. Rincian lagi yang kita tilang ini berdasarkan data tidak ada SIM berjumlah 100 orang, tidak membawa STNK ada 134 orang, jadi total 309 kendaraan yang kita lakukan penindakan,"" kata Harun.Baca juga: Nekat Terobos JLNT Casablanca Jaksel, 30 Pemotor Ditilang!Selain itu, Harun mengatakan aksi razia tersebut bermula dari aduan masyarakat. Masyarakat merasa terganggu oleh kebisingan di daerah jalan layang non-tol di Casablanca.""Aksi balap liar ini menimbulkan masyarakat yang resah tiap malam lihat kebisingan. Hampir pada tengah hari mulai dari pukul 12 sampai pagi hari sampai jam 3, jam 4-an,"" imbuhnya.Menanggapi hal tersebut, Polres Metro Jakarta Selatan bersama Kodim Jakarta Selatan dan juga Pemda melakukan tindakan razia. Razia dilakukan pada Jumat malam, 9 Juni 2023, pukul 24.00 WIB.""Jadi tiga pilar kita lakukan operasi Cipta Kondisi pada Jumat malam tanggal 9 Juni 2023,"" ujarnya.Baca juga: Maut Terulang di JLNT Casablanca, Pemotor Jadi Korban Jiwa(wnv/mea)
        
            
                				etle				etle casablanca				jlnt casablanca				kamera etle				jabodetabek            
        

        
        
    "
"9","
        Awal Pertemuan Korban dan Pelaku Berujung Pembunuhan Sesama Pria di Jakut    ","

                    Jakarta - Pria paruh baya berinisial W (55) tewas dibunuh pria bernama Maulana Azis (20) di sebuah kontrakan di Pademangan, Jakarta Utara. Polisi mengungkap awal mula pertemuan keduanya.Kasubdit Resmob Ditreskrimum Polda Metro Jaya AKBP Titus Yudho Uly mengatakan pelaku merupakan perantau dari Wonosobo, Jawa Tengah. Korban saat itu iba kepada pelaku dan meminta pelaku tinggal bersamanya di kompleks tersebut. Diketahui keduanya bekerja serabutan.""Pelaku itu kan nggak ada rumah di Jakarta. Jadi ditampung sama korban. Jadi pelaku ditampung di rumah korban karena pelaku merantau,"" kata Yudho saat dihubungi, Senin (10/7/2023).
      @import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");
     
  
    ADVERTISEMENT
  
  
        
          
                
                  
                        

  
    googletag.cmd.push(function() { googletag.display('div-gpt-ad-1572507980488-0'); });
  
                  
                
          
        
  
  
        SCROLL TO RESUME CONTENT
  
  
  function paraA(e) {
  var p = $(e);
  $(e + "" .para_fix"").width(p.width());
  }
  $("".paraA iframe"").on(""load"", paraA("".paraA""));
  Kurang lebih selama satu tahun keduanya tinggal bersama. Menurut pengakuan Maulana Aziz, selama itulah dia dijadikan budak seks oleh korban.""Sudah kurang lebih setahun pelaku tinggal di rumah korban. Pelaku dan korban tinggal bersama-sama di daerah Pademangan. Pelaku dipaksa untuk melayani korban,"" ujarnya.Baca juga: Hapus Jejak, Maulana Buang Pisau dan Gunting Usai Bunuh Pria di JakutDipaksa Layani SeksYudho mengatakan korban dan pelaku tidak berpacaran. Pelaku mengaku dirinya dipaksa melayani korban.""Dipaksa ya,"" ucapnya.Karena sakit hati, pelaku lantas membunuh korban pada Senin (3/7) dengan cara menusuk leher korban dengan pisau dan gunting. Setelah itu, pelaku menimbun korban menggunakan pakaian, lalu kabur.""Motif pelaku adalah balas dendam dan sakit hati dengan korban karena kurang lebih setahun dilecehkan secara seksual oleh korban,"" ujarnya.Peristiwa PembunuhanMaulana Aziz diketahui membunuh W pada Senin (3 /7) dengan cara menusuk leher korban menggunakan pisau dan gunting. Namun belum diketahui berapa kali tikaman yang dilayangkan pelaku kepada korban.""Sehingga pelaku sakit hati dan setelah setahun membunuh korban dengan pisau dan gunting dengan cara menusuk leher korban dengan benda tersebut sampai meninggal,"" jelas Yudho.Setelah itu, korban kemudian ditimbun menggunakan pakaian. Pelaku pun melarikan diri ke Wonosobo, Jawa Tengah, yang diketahui kampung halamannya. Maulana Aziz sendiri ditangkap di sana pada Sabtu (8/7).""Iya betul setelah dibunuh maka mayat ditutupi pakaian,"" imbuhnya.Baca juga: Sadisnya Pria Bunuh Pria di Jakut, Korban Ditusuk lalu Ditimbun PakaianLihat juga Video 'Sadis, Penembak Bermotor Bunuh Kakek 85 Tahun di Jalanan Kota New York': [Gambas:Video 20detik]        
		
        (wnv/mea)
        
            
                				pria bunuh pria				pembunuhan di pademangan				pembunuhan di jakut				polda metro jaya				jabodetabek            
        

        
        
    "
"10","
        Penerjun Payung TNI AU Mendarat Darurat di Maros Alami Cedera Tangan    ","

                    Maros - Penerjun payung prajurit Batalyon Komando 466 Kopasgat TNI Angkatan Udara (AU) mendarat darurat di Kabupaten Maros, Sulawesi Selatan (Sulsel), gegara parasut tidak mengembang sempurna. Prajurit TNI AU itu dilaporkan selamat dan mengalami cedera pada lengan.""Saat ini kondisi peterjun dari Kopasgat dalam keadaan baik dan stabil, meskipun ada dislokasi pada lengan bagian kiri,"" kata Kepala Penerangan Akademi Angkatan Udara Lanud Sultan Hasanuddin Mayor Sendang Arum Mahardani seperti dilansir detikSulsel, Senin (10/7/2023).Mayor Sendang mengatakan aksi terjun payung itu merupakan latihan rutin Yonko 466 Kopatgas. Namun, saat itu parasut yang dikeluarkan tidak mengembang sempurna.
      @import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");
     
  
    ADVERTISEMENT
  
  
        
          
                
                  
                        

  
    googletag.cmd.push(function() { googletag.display('div-gpt-ad-1572507980488-0'); });
  
                  
                
          
        
  
  
        SCROLL TO RESUME CONTENT
  
  
  function paraA(e) {
  var p = $(e);
  $(e + "" .para_fix"").width(p.width());
  }
  $("".paraA iframe"").on(""load"", paraA("".paraA""));
  Baca juga: Parasut Tak Mengembang Sempurna, Prajurit TNI Mendarat Darurat di Maros""Payungnya sesuai yang di video itu, payungnya tidak mengembang sempurna karena kondisi anginnya juga agak kurang stabil,"" ujarnya.Dia pun berharap korban bisa segera pulih. ""Mohon doanya biar lekas sembuh juga rekan kita itu,"" sambungnya.Sebelumnya diberitakan, seorang penerjun payung prajurit Yonko 466 Kopasgat TNI AU mendarat darurat di wilayah Turikale, Kabupaten Maros. Dalam video yang diterima detikSulsel, tampak prajurit TNI terjun payung dalam kondisi terputar di udara karena diduga parasut gagal mengembang sempurna.Simak berita selengkapnya di sini.Lihat juga Video 'Detik-detik Parasut Prajurit TNI Tak Mengembang, Terjun dari 1.600 Kaki': [Gambas:Video 20detik]        
		
        (jbr/dhn)
        
            
                				penerjun payung tni				prajurit tni				tni au				maros				sulsel            
        

        
        
    "
